INNOSPECTRA_NIR,ARCOPTIX_NIR,WASATCH_NIR,WASATCH_VISNIR
,1038.21,1521.99,464.39
,1038.64,1523.48,464.72
,1039.07,1524.97,465.06
,1039.5,1526.46,465.39
,1039.93,1527.95,465.72
,1040.37,1529.44,466.06
,1040.8,1530.93,466.39
,1041.23,1532.42,466.72
,1041.67,1533.91,467.05
,1042.1,1535.4,467.39
,1042.54,1536.88,467.72
,1042.97,1538.37,468.05
,1043.41,1539.86,468.39
,1043.84,1541.34,468.72
,1044.28,1542.83,469.05
,1044.71,1544.31,469.39
,1045.15,1545.79,469.72
,1045.59,1547.28,470.05
,1046.03,1548.76,470.38
,1046.46,1550.24,470.72
,1046.9,1551.72,471.05
,1047.34,1553.2,471.38
,1047.78,1554.69,471.72
,1048.22,1556.17,472.05
,1048.66,1557.64,472.38
,1049.1,1559.12,472.72
,1049.54,1560.6,473.05
,1049.98,1562.08,473.38
,1050.42,1563.56,473.72
,1050.86,1565.03,474.05
,1051.3,1566.51,474.38
,1051.75,1567.98,474.71
,1052.19,1569.46,475.05
,1052.63,1570.93,475.38
,1053.07,1572.41,475.71
,1053.52,1573.88,476.05
,1053.96,1575.35,476.38
,1054.41,1576.83,476.71
,1054.85,1578.3,477.05
,1055.3,1579.77,477.38
,1055.74,1581.24,477.71
,1056.19,1582.71,478.05
,1056.64,1584.18,478.38
,1057.08,1585.65,478.71
,1057.53,1587.11,479.04
,1057.98,1588.58,479.38
,1058.43,1590.05,479.71
,1058.87,1591.51,480.04
,1059.32,1592.98,480.38
,1059.77,1594.44,480.71
,1060.22,1595.91,481.04
,1060.67,1597.37,481.38
,1061.12,1598.84,481.71
,1061.57,1600.3,482.04
,1062.02,1601.76,482.38
,1062.47,1603.22,482.71
,1062.93,1604.68,483.04
,1063.38,1606.14,483.37
,1063.83,1607.6,483.71
,1064.28,1609.06,484.04
,1064.74,1610.52,484.37
,1065.19,1611.98,484.71
,1065.64,1613.43,485.04
,1066.1,1614.89,485.37
,1066.55,1616.35,485.71
,1067.01,1617.8,486.04
,1067.46,1619.26,486.37
,1067.92,1620.71,486.7
,1068.38,1622.16,487.04
,1068.83,1623.62,487.37
,1069.29,1625.07,487.7
,1069.75,1626.52,488.04
,1070.21,1627.97,488.37
,1070.66,1629.42,488.7
,1071.12,1630.87,489.04
,1071.58,1632.32,489.37
,1072.04,1633.77,489.7
,1072.5,1635.22,490.03
,1072.96,1636.66,490.37
,1073.42,1638.11,490.7
,1073.88,1639.55,491.03
,1074.34,1641.0,491.37
,1074.81,1642.44,491.7
,1075.27,1643.89,492.03
,1075.73,1645.33,492.37
,1076.19,1646.77,492.7
,1076.66,1648.22,493.03
,1077.12,1649.66,493.36
,1077.59,1651.1,493.7
,1078.05,1652.54,494.03
,1078.52,1653.98,494.36
,1078.98,1655.42,494.7
,1079.45,1656.85,495.03
,1079.91,1658.29,495.36
,1080.38,1659.73,495.7
,1080.85,1661.16,496.03
,1081.31,1662.6,496.36
,1081.78,1664.03,496.69
,1082.25,1665.47,497.03
,1082.72,1666.9,497.36
,1083.19,1668.33,497.69
,1083.66,1669.77,498.03
,1084.13,1671.2,498.36
,1084.6,1672.63,498.69
,1085.07,1674.06,499.03
,1085.54,1675.49,499.36
,1086.01,1676.92,499.69
,1086.48,1678.34,500.02
,1086.96,1679.77,500.36
,1087.43,1681.2,500.69
,1087.9,1682.62,501.02
,1088.38,1684.05,501.36
,1088.85,1685.47,501.69
,1089.32,1686.9,502.02
,1089.8,1688.32,502.35
,1090.27,1689.74,502.69
,1090.75,1691.16,503.02
,1091.23,1692.58,503.35
,1091.7,1694.0,503.69
,1092.18,1695.42,504.02
,1092.66,1696.84,504.35
,1093.14,1698.26,504.68
,1093.61,1699.68,505.02
,1094.09,1701.1,505.35
,1094.57,1702.51,505.68
,1095.05,1703.93,506.02
,1095.53,1705.34,506.35
,1096.01,1706.76,506.68
,1096.49,1708.17,507.02
,1096.97,1709.58,507.35
,1097.45,1710.99,507.68
,1097.94,1712.4,508.01
,1098.42,1713.81,508.35
,1098.9,1715.22,508.68
,1099.38,1716.63,509.01
,1099.87,1718.04,509.35
,1100.35,1719.45,509.68
,1100.84,1720.85,510.01
,1101.32,1722.26,510.34
,1101.81,1723.67,510.68
,1102.29,1725.07,511.01
,1102.78,1726.47,511.34
,1103.27,1727.88,511.67
,1103.75,,512.01
,1104.24,,512.34
,1104.73,,512.67
,1105.22,,513.01
,1105.71,,513.34
,1106.19,,513.67
,1106.68,,514.0
,1107.17,,514.34
,1107.67,,514.67
,1108.16,,515.0
,1108.65,,515.34
,1109.14,,515.67
,1109.63,,516.0
,1110.12,,516.33
,1110.62,,516.67
,1111.11,,517.0
,1111.61,,517.33
,1112.1,,517.66
,1112.59,,518.0
,1113.09,,518.33
,1113.59,,518.66
,1114.08,,519.0
,1114.58,,519.33
,1115.08,,519.66
,1115.57,,519.99
,1116.07,,520.33
,1116.57,,520.66
,1117.07,,520.99
,1117.57,,521.32
,1118.07,,521.66
,1118.57,,521.99
,1119.07,,522.32
,1119.57,,522.66
,1120.07,,522.99
,1120.57,,523.32
,1121.08,,523.65
,1121.58,,523.99
,1122.08,,524.32
,1122.59,,524.65
,1123.09,,524.98
,1123.6,,525.32
,1124.1,,525.65
,1124.61,,525.98
,1125.11,,526.31
,1125.62,,526.65
,1126.13,,526.98
,1126.63,,527.31
,1127.14,,527.65
,1127.65,,527.98
,1128.16,,528.31
,1128.67,,528.64
,1129.18,,528.98
,1129.69,,529.31
,1130.2,,529.64
,1130.71,,529.97
,1131.22,,530.31
,1131.73,,530.64
,1132.25,,530.97
,1132.76,,531.3
,1133.27,,531.64
,1133.79,,531.97
,1134.3,,532.3
,1134.82,,532.63
,1135.33,,532.97
,1135.85,,533.3
,1136.36,,533.63
,1136.88,,533.96
,1137.4,,534.3
,1137.92,,534.63
,1138.43,,534.96
,1138.95,,535.29
,1139.47,,535.63
,1139.99,,535.96
,1140.51,,536.29
,1141.03,,536.62
,1141.55,,536.96
,1142.07,,537.29
,1142.6,,537.62
,1143.12,,537.95
,1143.64,,538.29
,1144.16,,538.62
,1144.69,,538.95
,1145.21,,539.28
,1145.74,,539.61
,1146.26,,539.95
,1146.79,,540.28
,1147.32,,540.61
,1147.84,,540.94
,1148.37,,541.28
,1148.9,,541.61
,1149.43,,541.94
,1149.95,,542.27
,1150.48,,542.61
,1151.01,,542.94
,1151.54,,543.27
,1152.07,,543.6
,1152.6,,543.94
,1153.14,,544.27
,1153.67,,544.6
,1154.2,,544.93
,1154.73,,545.26
,1155.27,,545.6
,1155.8,,545.93
,1156.34,,546.26
,1156.87,,546.59
,1157.41,,546.93
,1157.94,,547.26
,1158.48,,547.59
,1159.02,,547.92
,1159.55,,548.25
,1160.09,,548.59
,1160.63,,548.92
,1161.17,,549.25
,1161.71,,549.58
,1162.25,,549.92
,1162.79,,550.25
,1163.33,,550.58
,1163.87,,550.91
,1164.42,,551.24
,1164.96,,551.58
,1165.5,,551.91
,1166.04,,552.24
,1166.59,,552.57
,1167.13,,552.9
,1167.68,,553.24
,1168.22,,553.57
,1168.77,,553.9
,1169.32,,554.23
,1169.86,,554.56
,1170.41,,554.9
,1170.96,,555.23
,1171.51,,555.56
,1172.06,,555.89
,1172.61,,556.22
,1173.16,,556.56
,1173.71,,556.89
,1174.26,,557.22
,1174.81,,557.55
,1175.36,,557.88
,1175.92,,558.22
,1176.47,,558.55
,1177.02,,558.88
,1177.58,,559.21
,1178.13,,559.54
,1178.69,,559.88
,1179.25,,560.21
,1179.8,,560.54
,1180.36,,560.87
,1180.92,,561.2
,1181.47,,561.54
,1182.03,,561.87
,1182.59,,562.2
,1183.15,,562.53
,1183.71,,562.86
,1184.27,,563.2
,1184.83,,563.53
